식물명 (국명),학명,light_lux_min,light_lux_max,temp_optimal_min,temp_optimal_max,temp_limit_min,temp_limit_max,humidity_min,humidity_max,cultivation_type,user_light,user_temp,user_humidity,user_cultivation_context,score
아스파라거스 미리오클라두스,Asparagus densiflorus 'Myriocladus',10000.0,20000.0,15.0,25.0,5.0,5.0,60.0,70.0,실내,15501.72536626367,25.78996354578129,53.87529368138664,실내,61.4
꼬리조팝나무,Spiraea salicifolia,15000.0,30000.0,25.0,25.0,-30.0,-30.0,40.0,60.0,실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,0.0
디펜바키아,Dieffenbachia seguine,5000.0,15000.0,18.0,25.0,10.0,10.0,60.0,70.0,실내,15501.72536626367,25.78996354578129,53.87529368138664,실내,55.8
패랭이,Dianthus chinensis,20000.0,50000.0,15.0,25.0,-20.0,-20.0,40.0,70.0,실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,0.0
드라세나'송오브인디아',Dracaena reflexa 'Song of India',1500.0,10000.0,16.0,25.0,13.0,13.0,40.0,60.0,실내,15501.72536626367,25.78996354578129,53.87529368138664,실내,60.8
둥근잎꿩의비름,Hylotelephium ussuriense,15000.0,30000.0,15.0,25.0,-20.0,-20.0,40.0,60.0,실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,0.0
몬스테라,Monstera deliciosa,1500.0,3000.0,16.0,20.0,10.0,10.0,40.0,70.0,실내,15501.72536626367,25.78996354578129,53.87529368138664,실내,33.3
마조람,Origanum majorana,20000.0,40000.0,15.0,25.0,0.0,0.0,40.0,60.0,실내·실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,79.7
돌단풍,Mukdenia rossii,5000.0,10000.0,15.0,22.0,-20.0,-20.0,60.0,80.0,실내·실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,12.9
글록시니아,Sinningia speciosa,5000.0,10000.0,20.0,25.0,10.0,10.0,50.0,60.0,실내,15501.72536626367,25.78996354578129,53.87529368138664,실내,56.1
망종화,Hypericum patulum,20000.0,40000.0,18.0,25.0,-15.0,-15.0,40.0,60.0,실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,0.0
황매화,Kerria japonica,15000.0,30000.0,15.0,20.0,-20.0,-20.0,50.0,70.0,실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,0.0
금영화,Eschscholzia californica,30000.0,50000.0,15.0,25.0,-5.0,-5.0,40.0,60.0,실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,0.0
매발톱,Aquilegia oxysepala,15000.0,30000.0,15.0,22.0,-20.0,-20.0,50.0,65.0,실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,0.0
블루스타고사리,Phlebodium aureum,3000.0,5000.0,18.0,24.0,10.0,10.0,60.0,80.0,실내,15501.72536626367,25.78996354578129,53.87529368138664,실내,26.4
원추천인국,Rudbeckia hirta,30000.0,50000.0,15.0,25.0,-15.0,-15.0,40.0,60.0,실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,0.0
오색마삭줄,Trachelospermum asiaticum,10000.0,25000.0,20.0,25.0,-5.0,-5.0,50.0,70.0,실내·실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,89.5
수박페페로미아,Peperomia argyreia,800.0,1500.0,21.0,25.0,13.0,13.0,40.0,70.0,실내,15501.72536626367,25.78996354578129,53.87529368138664,실내,53.5
멕시코돌나물,Sedum mexicanum,15000.0,40000.0,18.0,25.0,-5.0,-5.0,40.0,60.0,실내·실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,92.5
문샤인산세베리아,Sansevieria trifasciata 'Moonshine',5000.0,15000.0,20.0,28.0,10.0,10.0,40.0,60.0,실내,15501.72536626367,25.78996354578129,53.87529368138664,실내,96.7
백목련,Magnolia denudata,30000.0,50000.0,15.0,25.0,-20.0,-20.0,40.0,60.0,실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,0.0
부처꽃,Lythrum salicaria,20000.0,50000.0,18.0,25.0,-20.0,-20.0,60.0,80.0,실외,15501.72536626367,25.78996354578129,53.87529368138664,실내,0.0
